Merchant_Idea_Open,Age_Group_Code,Shop_Loc_Code,Rider_Cust_Rate_Code,Current_Stay_Status_Code,Collab_Intent_Code,Concern_安全责任问题,Concern_影响店面卫生,Incentive_平台流量曝光,Incentive_水电补贴,ShopType_便利店/小超市,ShopType_其他服务店,ShopType_药店/诊所,ShopType_餐饮店
,1,1,2,1,2,0,1,1,1,False,True,False,False
,4,0,1,2,2,1,1,1,0,False,False,True,False
,4,0,3,3,0,1,1,1,1,False,False,False,True
,1,2,1,1,2,0,1,0,1,False,True,False,False
,4,1,2,3,0,1,1,1,1,True,False,False,False
,3,1,3,1,2,1,0,1,1,True,False,False,False
,3,1,1,1,2,1,1,1,0,False,True,False,False
,4,1,2,2,1,0,1,1,1,False,True,False,False
,2,1,2,3,0,0,1,1,0,False,True,False,False
,1,0,2,2,1,1,1,1,0,False,False,False,True
,3,1,2,0,1,1,0,1,1,False,False,True,False
,1,1,1,0,2,0,1,0,1,False,True,False,False
,4,0,3,3,2,1,1,1,1,False,False,True,False
,3,0,2,1,0,1,1,1,1,True,False,False,False
,2,2,2,1,2,1,1,1,0,True,False,False,False
,4,2,2,3,2,0,1,1,1,True,False,False,False
,2,0,3,1,2,1,0,0,1,False,False,False,True
,2,2,3,0,1,1,1,1,0,False,True,False,False
,3,2,2,3,0,1,1,1,1,False,False,False,True
,4,2,3,1,0,1,1,1,0,False,False,False,True
,4,0,1,1,0,1,1,0,1,True,False,False,False
,2,2,1,2,1,0,1,1,1,True,False,False,False
,4,2,2,2,2,1,1,1,1,False,False,False,True
