ID,答题时间,Q1_身份,Q2_年龄段,Q3_配送类型,Q4_配送区域类型,Q5_是否用过驿站,Q6_跑单时长,Q7_最不便方面_多选,Q8_驿站重要功能_多选,Q9_驿站选址偏好,Q10_方案取舍,Q11_效率恢复_量表,Q12_安全缓冲_量表,Q13_价值感知_量表,Q14_寻找难易_量表,Q15_注意力测试_量表,Q16_使用流程_量表,Q17_习惯难度_量表,Q18_使用可能_量表,Q19_推荐意愿_量表,Q20_运营费用承担_多选,Q21_付费意愿,Q22_广告接受度_量表,Q23_运营顾虑_开放,Q24_从业时间,Q25_月收入,Q26_商户店铺类型,Q27_商户店址位置,Q28_骑手客源占比,Q29_目前骑手停留情况,Q30_参与合作意向,Q31_合作顾虑点_多选,Q32_激励方式偏好_多选,Q33_商户具体想法_开放,Q34_居民见骑手频率,Q35_对骑手露宿态度,Q36_对驿站总体态度,Q37_50米内距离敏感度,Q38_居民主要担忧_多选,Q39_驿站管理原则_多选,Q40_参与讨论意愿,Q41_居民建议建议_开放,Q42_社区居住时长
11,927,外卖骑手,18-24岁,众包,商业区/写字楼为主,知道，但从没用过,少于4小时,"身体疲劳无处缓解,饮水不便,手机/电瓶车充电难","应急庇护,便利服务",小区出入口/门卫室附近,A（高频便利型）,3.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,4.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
12,819,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,5年以上
13,160,外卖骑手,41岁及以上,众包,商业区/写字楼为主,是，偶尔用,4-8小时,"饮水不便,找不到合适地方休息","便利服务,充电续航",社区便利店/超市内,B（综合保障型）,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,5.0,,6个月-1年,5000元以下,,,,,,,,,,,,,,,,,
14,63,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,1-5年
15,369,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,4-8小时,"上厕所不便,找不到合适地方休息,饮水不便","应急庇护,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,2.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
16,207,外卖骑手,25-30岁,专送,混合区域,知道，但从没用过,4-8小时,"饮水不便,身体疲劳无处缓解,找不到合适地方休息","基础休憩,应急庇护",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,5.0,4.0,1.0,4.0,5.0,4.0,4.0,"由外卖平台承担,广告收入",视情况而定,4.0,,6个月-1年,5000-8000元,,,,,,,,,,,,,,,,,
17,167,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,5年以上
18,133,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,觉得辛苦,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
19,402,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,1-5年
20,323,外卖骑手,18-24岁,众包,商业区/写字楼为主,完全不知道,少于4小时,"找不到合适地方休息,身体疲劳无处缓解,饮水不便","充足的电瓶车停车位,便利服务",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,2.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
21,172,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,少于1年
22,952,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,超过12小时,"手机/电瓶车充电难,找不到合适地方休息","应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,"广告收入,完全由政府出资",视情况而定,4.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
23,449,外卖骑手,18-24岁,专送,住宅区/社区为主,知道，但从没用过,8-12小时,"饮水不便,找不到合适地方休息","应急庇护,基础休憩",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,"广告收入,向骑手收取少量费用",完全不愿意,3.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
24,353,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,4-8小时,找不到合适地方休息,"充电续航,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,"完全由政府出资,向骑手收取少量费用",不太愿意,4.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
25,393,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,8-12小时,身体疲劳无处缓解,"便利服务,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,"由外卖平台承担,完全由政府出资",愿意支付,4.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
26,286,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,否,很少,经常有,非常愿意,"影响店面卫生,安全责任问题",平台流量曝光,,,,,,,,,,
28,559,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,是，在100米内,很少,从未有过,非常愿意,"影响店面卫生,安全责任问题",水电补贴,,,,,,,,,,
30,904,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,不希望聚集,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,少于1年
31,292,外卖骑手,41岁及以上,专送,商业区/写字楼为主,是，偶尔用,超过12小时,"身体疲劳无处缓解,找不到合适地方休息","充电续航,基础休憩",社区党群服务中心,A（高频便利型）,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,"向骑手收取少量费用,完全由政府出资",愿意支付,2.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
32,184,外卖骑手,41岁及以上,专送,住宅区/社区为主,是，偶尔用,8-12小时,"找不到合适地方休息,手机/电瓶车充电难,饮水不便","应急庇护,便利服务",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,"完全由政府出资,由外卖平台承担",不太愿意,4.0,,不到6个月,12000元以上,,,,,,,,,,,,,,,,,
33,163,外卖骑手,41岁及以上,专送,混合区域,是，经常用,超过12小时,上厕所不便,"便利服务,充电续航",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,"完全由政府出资,向骑手收取少量费用",愿意支付,5.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
34,226,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,不希望聚集,中立,是,噪音/卫生问题,禁止吸烟,无所谓,,1-5年
35,101,外卖骑手,31-40岁,专送,商业区/写字楼为主,是，经常用,4-8小时,"上厕所不便,饮水不便","便利服务,应急庇护",社区党群服务中心,C（弹性流动型）,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,"广告收入,完全由政府出资",愿意支付,5.0,,6个月-1年,5000元以下,,,,,,,,,,,,,,,,,
36,193,外卖骑手,25-30岁,专送,混合区域,完全不知道,4-8小时,"找不到合适地方休息,身体疲劳无处缓解","充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,3.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
37,263,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,4-8小时,"上厕所不便,饮水不便","便利服务,基础休憩",社区党群服务中心,B（综合保障型）,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,"由外卖平台承担,广告收入",视情况而定,4.0,,不到6个月,12000元以上,,,,,,,,,,,,,,,,,
38,66,外卖骑手,41岁及以上,众包,商业区/写字楼为主,是，偶尔用,8-12小时,"找不到合适地方休息,饮水不便,手机/电瓶车充电难","充电续航,应急庇护",小区出入口/门卫室附近,B（综合保障型）,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,"完全由政府出资,由外卖平台承担",愿意支付,1.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
39,375,外卖骑手,25-30岁,众包,混合区域,是，经常用,4-8小时,"手机/电瓶车充电难,身体疲劳无处缓解,饮水不便","基础休憩,应急庇护",社区便利店/超市内,A（高频便利型）,3.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,"完全由政府出资,向骑手收取少量费用",不太愿意,1.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
40,116,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,不希望聚集,中立,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,5年以上
41,1576,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"手机/电瓶车充电难,身体疲劳无处缓解,饮水不便","应急庇护,充足的电瓶车停车位",闲置核酸亭/集装箱改造,B（综合保障型）,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"向骑手收取少量费用,广告收入",不太愿意,3.0,,1-3年,8000-12000元,,,,,,,,,,,,,,,,,
42,1336,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,少于4小时,"上厕所不便,手机/电瓶车充电难","基础休憩,应急庇护",闲置核酸亭/集装箱改造,B（综合保障型）,3.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,"广告收入,由外卖平台承担",愿意支付,3.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
43,410,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,超过12小时,"饮水不便,找不到合适地方休息,上厕所不便","应急庇护,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,4.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
44,620,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,8-12小时,"饮水不便,身体疲劳无处缓解,找不到合适地方休息","基础休憩,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",视情况而定,3.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
45,262,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,是，在100米内,是，经常来,经常有,非常愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",,,,,,,,,,
46,609,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,否,是，经常来,很少有,可以考虑,安全责任问题,"水电补贴,平台流量曝光",,,,,,,,,,
47,396,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,觉得辛苦,中立,是,充电消防隐患,物业监督,无所谓,,少于1年
48,400,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,是，在100米内,是，经常来,很少有,可以考虑,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",,,,,,,,,,
49,395,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,8-12小时,"上厕所不便,手机/电瓶车充电难","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,4.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,"完全由政府出资,由外卖平台承担",完全不愿意,2.0,,1-3年,8000-12000元,,,,,,,,,,,,,,,,,
50,376,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，经常用,超过12小时,"手机/电瓶车充电难,找不到合适地方休息,饮水不便","充足的电瓶车停车位,充电续航",社区便利店/超市内,B（综合保障型）,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,"完全由政府出资,向骑手收取少量费用",不太愿意,1.0,,3年以上,8000-12000元,,,,,,,,,,,,,,,,,
51,199,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,是，就在小区门口,偶尔来,经常有,可以考虑,"影响店面卫生,安全责任问题",水电补贴,,,,,,,,,,
52,253,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,是，就在小区门口,是，经常来,经常有,不愿意,影响店面卫生,"水电补贴,平台流量曝光",,,,,,,,,,
54,370,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,不希望聚集,不太支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,1-5年
55,263,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,影响美观,非常支持,是,充电消防隐患,物业监督,愿意,,5年以上
56,159,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,不希望聚集,不太支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,1-5年
57,140,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,少于4小时,饮水不便,"充足的电瓶车停车位,充电续航",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,"广告收入,由外卖平台承担",完全不愿意,1.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
58,401,外卖骑手,18-24岁,专送,商业区/写字楼为主,是，偶尔用,8-12小时,"身体疲劳无处缓解,手机/电瓶车充电难,饮水不便","应急庇护,充电续航",小区出入口/门卫室附近,B（综合保障型）,3.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,"向骑手收取少量费用,由外卖平台承担",视情况而定,3.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
59,361,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,8-12小时,"手机/电瓶车充电难,身体疲劳无处缓解,上厕所不便","应急庇护,充电续航",社区便利店/超市内,B（综合保障型）,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,"完全由政府出资,由外卖平台承担",视情况而定,1.0,,6个月-1年,5000-8000元,,,,,,,,,,,,,,,,,
60,288,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,是，在100米内,很少,从未有过,可以考虑,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",,,,,,,,,,
61,1455,外卖骑手,31-40岁,众包,住宅区/社区为主,是，偶尔用,8-12小时,饮水不便,"基础休憩,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,1.0,,6个月-1年,12000元以上,,,,,,,,,,,,,,,,,
62,238,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,非常支持,否,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
63,354,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,4-8小时,上厕所不便,"基础休憩,充电续航",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,"向骑手收取少量费用,广告收入",不太愿意,2.0,,1-3年,8000-12000元,,,,,,,,,,,,,,,,,
64,1173,外卖骑手,18-24岁,专送,住宅区/社区为主,是，经常用,少于4小时,"饮水不便,手机/电瓶车充电难","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,"由外卖平台承担,完全由政府出资",不太愿意,4.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
65,157,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，偶尔用,8-12小时,"身体疲劳无处缓解,上厕所不便","充电续航,便利服务",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,1.0,,6个月-1年,5000-8000元,,,,,,,,,,,,,,,,,
66,338,外卖骑手,25-30岁,专送,混合区域,知道，但从没用过,4-8小时,饮水不便,"充足的电瓶车停车位,便利服务",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,"广告收入,由外卖平台承担",愿意支付,3.0,,6个月-1年,5000元以下,,,,,,,,,,,,,,,,,
67,495,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,是，就在小区门口,偶尔来,很少有,可以考虑,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",,,,,,,,,,
68,443,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,觉得辛苦,比较支持,是,充电消防隐患,"禁止吸烟,物业监督",不太愿意,,5年以上
69,408,外卖骑手,31-40岁,众包,混合区域,知道，但从没用过,8-12小时,"饮水不便,身体疲劳无处缓解","应急庇护,充电续航",社区便利店/超市内,B（综合保障型）,5.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,"广告收入,由外卖平台承担",视情况而定,5.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
70,732,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,没感觉,非常支持,否,充电消防隐患,禁止吸烟,无所谓,,5年以上
71,474,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,4-8小时,"手机/电瓶车充电难,找不到合适地方休息","充电续航,充足的电瓶车停车位",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,"由外卖平台承担,广告收入",完全不愿意,1.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
72,666,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,没感觉,非常支持,是,充电消防隐患,禁止吸烟,愿意,,少于1年
73,296,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,影响美观,不太支持,否,充电消防隐患,"禁止吸烟,物业监督",不太愿意,,5年以上
74,369,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,是，在100米内,是，经常来,很少有,不愿意,影响店面卫生,水电补贴,,,,,,,,,,
75,227,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,4-8小时,"身体疲劳无处缓解,上厕所不便","充足的电瓶车停车位,应急庇护",小区出入口/门卫室附近,B（综合保障型）,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,"向骑手收取少量费用,完全由政府出资",视情况而定,3.0,,6个月-1年,12000元以上,,,,,,,,,,,,,,,,,
76,617,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,少于4小时,饮水不便,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,3.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
77,1155,外卖骑手,25-30岁,众包,住宅区/社区为主,完全不知道,8-12小时,找不到合适地方休息,"便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,"广告收入,完全由政府出资",视情况而定,3.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
78,633,外卖骑手,41岁及以上,众包,住宅区/社区为主,是，偶尔用,4-8小时,"饮水不便,身体疲劳无处缓解,上厕所不便","充足的电瓶车停车位,便利服务",社区便利店/超市内,C（弹性流动型）,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,"完全由政府出资,由外卖平台承担",完全不愿意,5.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
79,540,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,8-12小时,"身体疲劳无处缓解,找不到合适地方休息","基础休憩,便利服务",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"广告收入,向骑手收取少量费用",愿意支付,1.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
80,501,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,否,很少,从未有过,非常愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",,,,,,,,,,
81,267,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,8-12小时,"上厕所不便,找不到合适地方休息,饮水不便","便利服务,充电续航",闲置核酸亭/集装箱改造,A（高频便利型）,5.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,5.0,,不到6个月,12000元以上,,,,,,,,,,,,,,,,,
82,478,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,8-12小时,手机/电瓶车充电难,"便利服务,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"广告收入,由外卖平台承担",不太愿意,3.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
83,126,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,8-12小时,找不到合适地方休息,"充足的电瓶车停车位,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,"由外卖平台承担,完全由政府出资",愿意支付,1.0,,6个月-1年,5000元以下,,,,,,,,,,,,,,,,,
84,242,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,,1-5年
85,553,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,少于4小时,"饮水不便,手机/电瓶车充电难,身体疲劳无处缓解","应急庇护,充电续航",社区便利店/超市内,C（弹性流动型）,5.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,"由外卖平台承担,广告收入",完全不愿意,2.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
86,429,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,,1-5年
87,365,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,否,偶尔来,从未有过,非常愿意,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",,,,,,,,,,
88,175,外卖骑手,18-24岁,众包,混合区域,完全不知道,超过12小时,"手机/电瓶车充电难,身体疲劳无处缓解","充电续航,基础休憩",小区出入口/门卫室附近,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,"向骑手收取少量费用,完全由政府出资",完全不愿意,3.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
