ID,Duration,Role,Age_Group,See_Rider_Freq,Attitude_Street_Rest,Overall_Attitude,NIMBY_Sensitivity,Resident_Concern_M,Mgmt_Principle_M,Discussion_Will,Resident_Suggest_Open,Reside_Duration
72,666,社区居民,25-30岁,经常看到,没感觉,非常支持,是,充电消防隐患,禁止吸烟,愿意,,少于1年
73,296,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,充电消防隐患,"禁止吸烟,物业监督",不太愿意,,5年以上
84,242,社区居民,31-40岁,经常看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,,1-5年
86,429,社区居民,31-40岁,很少看到,没感觉,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,,1-5年
89,679,社区居民,31-40岁,偶尔看到,影响美观,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,少于1年
101,567,社区居民,18-24岁,偶尔看到,觉得辛苦,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,,少于1年
102,743,社区居民,18-24岁,经常看到,觉得辛苦,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,无所谓,,5年以上
107,318,社区居民,31-40岁,经常看到,觉得辛苦,中立,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,,1-5年
111,184,社区居民,31-40岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,,少于1年
117,72,社区居民,25-30岁,偶尔看到,没感觉,非常支持,否,噪音/卫生问题,物业监督,不太愿意,,5年以上
118,316,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",不太愿意,,少于1年
119,429,社区居民,31-40岁,很少看到,不希望聚集,比较支持,是,充电消防隐患,禁止吸烟,无所谓,,1-5年
128,383,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,,少于1年
135,302,社区居民,18-24岁,经常看到,不希望聚集,非常支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,少于1年
136,402,社区居民,25-30岁,经常看到,影响美观,不太支持,是,噪音/卫生问题,物业监督,无所谓,,1-5年
148,268,社区居民,25-30岁,偶尔看到,影响美观,不太支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,,1-5年
149,670,社区居民,31-40岁,偶尔看到,影响美观,比较支持,是,噪音/卫生问题,物业监督,无所谓,,5年以上
152,451,社区居民,31-40岁,很少看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,,少于1年
154,503,社区居民,41岁及以上,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,,1-5年
157,380,社区居民,18-24岁,经常看到,没感觉,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",愿意,,5年以上
158,185,社区居民,31-40岁,很少看到,没感觉,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,少于1年
163,572,社区居民,41岁及以上,很少看到,没感觉,中立,是,充电消防隐患,"物业监督,禁止吸烟",无所谓,,5年以上
165,297,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,物业监督,不太愿意,,1-5年
166,518,社区居民,41岁及以上,经常看到,觉得辛苦,非常支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,1-5年
179,275,社区居民,25-30岁,经常看到,没感觉,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,少于1年
181,258,社区居民,31-40岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,无所谓,,1-5年
190,367,社区居民,25-30岁,很少看到,没感觉,不太支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,,少于1年
194,592,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,,1-5年
199,349,社区居民,25-30岁,经常看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",不太愿意,,5年以上
200,224,社区居民,31-40岁,经常看到,影响美观,中立,是,充电消防隐患,"物业监督,禁止吸烟",愿意,,5年以上
208,290,社区居民,25-30岁,偶尔看到,觉得辛苦,比较支持,否,充电消防隐患,"禁止吸烟,物业监督",无所谓,,少于1年
221,157,社区居民,25-30岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,,1-5年
224,277,社区居民,25-30岁,很少看到,觉得辛苦,不太支持,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",不太愿意,,5年以上
228,283,社区居民,25-30岁,很少看到,没感觉,中立,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,,5年以上
229,387,社区居民,18-24岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,,5年以上
233,765,社区居民,25-30岁,很少看到,没感觉,非常支持,是,充电消防隐患,物业监督,无所谓,,少于1年
237,564,社区居民,25-30岁,经常看到,觉得辛苦,非常支持,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,,5年以上
238,504,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,5年以上
242,256,社区居民,18-24岁,很少看到,影响美观,非常支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,少于1年
246,375,社区居民,25-30岁,经常看到,觉得辛苦,不太支持,否,充电消防隐患,"禁止吸烟,物业监督",无所谓,,少于1年
250,683,社区居民,41岁及以上,偶尔看到,影响美观,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
260,340,社区居民,18-24岁,偶尔看到,没感觉,中立,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,愿意,,1-5年
261,348,社区居民,18-24岁,经常看到,影响美观,非常支持,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,,5年以上
262,220,社区居民,25-30岁,经常看到,影响美观,不太支持,是,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,,少于1年
264,335,社区居民,41岁及以上,偶尔看到,不希望聚集,中立,否,充电消防隐患,"物业监督,禁止吸烟",无所谓,,5年以上
268,404,社区居民,31-40岁,经常看到,没感觉,比较支持,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,,少于1年
272,458,社区居民,41岁及以上,偶尔看到,没感觉,比较支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,,少于1年
273,907,社区居民,41岁及以上,经常看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,,少于1年
280,254,社区居民,31-40岁,偶尔看到,影响美观,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,,1-5年
291,476,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,充电消防隐患,"物业监督,禁止吸烟",愿意,,少于1年
294,776,社区居民,41岁及以上,经常看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,,少于1年
295,534,社区居民,25-30岁,很少看到,没感觉,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,,5年以上
303,384,社区居民,31-40岁,很少看到,觉得辛苦,非常支持,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,少于1年
305,265,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,噪音/卫生问题,禁止吸烟,愿意,,1-5年
307,187,社区居民,31-40岁,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,,1-5年
308,280,社区居民,18-24岁,经常看到,不希望聚集,比较支持,是,充电消防隐患,物业监督,不太愿意,,5年以上
319,302,社区居民,31-40岁,经常看到,没感觉,比较支持,否,充电消防隐患,禁止吸烟,无所谓,,少于1年
322,1263,社区居民,18-24岁,偶尔看到,没感觉,比较支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,,5年以上
324,302,社区居民,25-30岁,很少看到,没感觉,中立,否,充电消防隐患,禁止吸烟,不太愿意,,5年以上
329,632,社区居民,25-30岁,偶尔看到,影响美观,比较支持,是,充电消防隐患,物业监督,无所谓,,5年以上
330,712,社区居民,18-24岁,很少看到,影响美观,不太支持,是,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,,少于1年
331,355,社区居民,18-24岁,很少看到,影响美观,比较支持,否,充电消防隐患,"物业监督,禁止吸烟",不太愿意,,5年以上
332,723,社区居民,18-24岁,经常看到,没感觉,比较支持,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,,1-5年
338,136,社区居民,41岁及以上,偶尔看到,没感觉,非常支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,,1-5年
339,241,社区居民,18-24岁,偶尔看到,没感觉,中立,是,充电消防隐患,物业监督,无所谓,,1-5年
340,598,社区居民,25-30岁,经常看到,不希望聚集,中立,否,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,,1-5年
345,195,社区居民,25-30岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,无所谓,,5年以上
346,591,社区居民,18-24岁,偶尔看到,不希望聚集,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,5年以上
347,313,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,否,充电消防隐患,禁止吸烟,愿意,,1-5年
352,358,社区居民,31-40岁,偶尔看到,觉得辛苦,比较支持,是,噪音/卫生问题,禁止吸烟,愿意,,5年以上
359,1427,社区居民,41岁及以上,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,,1-5年
364,452,社区居民,25-30岁,偶尔看到,没感觉,非常支持,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,,少于1年
369,183,社区居民,18-24岁,很少看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,少于1年
372,724,社区居民,31-40岁,很少看到,不希望聚集,中立,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",不太愿意,,少于1年
373,541,社区居民,18-24岁,偶尔看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,,1-5年
375,320,社区居民,25-30岁,很少看到,没感觉,不太支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,1-5年
377,186,社区居民,41岁及以上,很少看到,觉得辛苦,非常支持,否,充电消防隐患,物业监督,无所谓,,少于1年
378,197,社区居民,41岁及以上,很少看到,不希望聚集,非常支持,是,噪音/卫生问题,"物业监督,禁止吸烟",无所谓,,1-5年
384,560,社区居民,31-40岁,偶尔看到,没感觉,比较支持,是,充电消防隐患,禁止吸烟,无所谓,,5年以上
389,178,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,充电消防隐患,物业监督,不太愿意,,5年以上
390,254,社区居民,18-24岁,很少看到,影响美观,中立,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,,1-5年
399,1295,社区居民,18-24岁,偶尔看到,影响美观,不太支持,是,充电消防隐患,"禁止吸烟,物业监督",不太愿意,,1-5年
409,316,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,,5年以上
411,220,社区居民,31-40岁,经常看到,影响美观,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,,1-5年
414,1549,社区居民,31-40岁,经常看到,不希望聚集,比较支持,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,,1-5年
416,181,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,5年以上
427,396,社区居民,31-40岁,偶尔看到,不希望聚集,非常支持,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,,少于1年
429,368,社区居民,18-24岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,1-5年
434,318,社区居民,41岁及以上,很少看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,,少于1年
442,203,社区居民,18-24岁,经常看到,不希望聚集,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,5年以上
449,255,社区居民,41岁及以上,经常看到,没感觉,非常支持,是,噪音/卫生问题,"物业监督,禁止吸烟",愿意,,1-5年
451,102,社区居民,25-30岁,很少看到,觉得辛苦,比较支持,是,噪音/卫生问题,"物业监督,禁止吸烟",愿意,,5年以上
455,694,社区居民,18-24岁,很少看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,,1-5年
456,72,社区居民,41岁及以上,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,"禁止吸烟,物业监督",愿意,,1-5年
461,140,社区居民,31-40岁,很少看到,没感觉,中立,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",愿意,,5年以上
463,329,社区居民,25-30岁,很少看到,不希望聚集,中立,否,充电消防隐患,物业监督,不太愿意,,少于1年
469,166,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,,5年以上
481,1045,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,,少于1年
482,278,社区居民,18-24岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,愿意,,5年以上
486,144,社区居民,25-30岁,偶尔看到,影响美观,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,少于1年
489,505,社区居民,25-30岁,很少看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,少于1年
497,334,社区居民,31-40岁,很少看到,觉得辛苦,非常支持,否,充电消防隐患,物业监督,愿意,,少于1年
499,770,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,,5年以上
500,559,社区居民,25-30岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,,少于1年
501,189,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,,1-5年
504,364,社区居民,25-30岁,经常看到,不希望聚集,非常支持,是,充电消防隐患,物业监督,不太愿意,,1-5年
508,403,社区居民,18-24岁,偶尔看到,没感觉,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,,5年以上
520,601,社区居民,25-30岁,很少看到,觉得辛苦,中立,否,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,,5年以上
523,177,社区居民,41岁及以上,很少看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,,1-5年
524,298,社区居民,31-40岁,经常看到,觉得辛苦,中立,是,充电消防隐患,"物业监督,禁止吸烟",愿意,,1-5年
527,367,社区居民,31-40岁,经常看到,觉得辛苦,中立,否,充电消防隐患,物业监督,不太愿意,,1-5年
532,665,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,,5年以上
539,773,社区居民,18-24岁,经常看到,不希望聚集,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,,1-5年
544,363,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,少于1年
546,515,社区居民,31-40岁,很少看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,5年以上
547,267,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,是,充电消防隐患,"物业监督,禁止吸烟",不太愿意,,1-5年
551,564,社区居民,18-24岁,经常看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",不太愿意,,1-5年
19,802,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,1-5年
229,310,社区居民,18-24岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,,5年以上
154,315,社区居民,41岁及以上,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,,1-5年
89,60,社区居民,31-40岁,偶尔看到,影响美观,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,少于1年
12,874,社区居民,25-30岁,偶尔看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,5年以上
233,383,社区居民,25-30岁,很少看到,没感觉,非常支持,是,充电消防隐患,物业监督,无所谓,,少于1年
238,353,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,5年以上
14,50,社区居民,41岁及以上,很少看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,1-5年
359,448,社区居民,41岁及以上,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,,1-5年
532,452,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,,5年以上
152,1009,社区居民,31-40岁,很少看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,,少于1年
17,841,社区居民,18-24岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,5年以上
165,145,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,物业监督,不太愿意,,1-5年
375,167,社区居民,25-30岁,很少看到,没感觉,不太支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,1-5年
319,216,社区居民,31-40岁,经常看到,没感觉,比较支持,否,充电消防隐患,禁止吸烟,无所谓,,少于1年
273,106,社区居民,41岁及以上,经常看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,,少于1年
250,212,社区居民,41岁及以上,偶尔看到,影响美观,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
18,286,社区居民,18-24岁,偶尔看到,觉得辛苦,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
149,341,社区居民,31-40岁,偶尔看到,影响美观,比较支持,是,噪音/卫生问题,物业监督,无所谓,,5年以上
416,464,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,5年以上
345,473,社区居民,25-30岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,无所谓,,5年以上
291,477,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,充电消防隐患,"物业监督,禁止吸烟",愿意,,少于1年
221,299,社区居民,25-30岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,,1-5年
500,412,社区居民,25-30岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,,少于1年
119,309,社区居民,31-40岁,很少看到,不希望聚集,比较支持,是,充电消防隐患,禁止吸烟,无所谓,,1-5年
499,403,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,,5年以上
54,281,社区居民,18-24岁,经常看到,不希望聚集,不太支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,1-5年
