ID,Duration,Role,Age_Group,See_Rider_Freq,Attitude_Street_Rest,Overall_Attitude,NIMBY_Sensitivity,Resident_Concern_M,Mgmt_Principle_M,Discussion_Will,Resident_Suggest_Open,Reside_Duration,text_quality_bad
520,601,社区居民,25-30岁,很少看到,觉得辛苦,中立,否,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,5年以上,False
523,177,社区居民,41岁及以上,很少看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,未填写,1-5年,False
524,298,社区居民,31-40岁,经常看到,觉得辛苦,中立,是,充电消防隐患,"物业监督,禁止吸烟",愿意,未填写,1-5年,False
527,367,社区居民,31-40岁,经常看到,觉得辛苦,中立,否,充电消防隐患,物业监督,不太愿意,未填写,1-5年,False
532,665,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,未填写,5年以上,False
539,773,社区居民,18-24岁,经常看到,不希望聚集,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,未填写,1-5年,False
544,363,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,少于1年,False
546,515,社区居民,31-40岁,很少看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,5年以上,False
547,267,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,是,充电消防隐患,"物业监督,禁止吸烟",不太愿意,未填写,1-5年,False
551,564,社区居民,18-24岁,经常看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
19,802,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,1-5年,False
229,310,社区居民,18-24岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,未填写,5年以上,False
154,315,社区居民,41岁及以上,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
12,874,社区居民,25-30岁,偶尔看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,5年以上,False
233,383,社区居民,25-30岁,很少看到,没感觉,非常支持,是,充电消防隐患,物业监督,无所谓,未填写,少于1年,False
238,353,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,5年以上,False
359,448,社区居民,41岁及以上,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,未填写,1-5年,False
532,452,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,未填写,5年以上,False
152,1009,社区居民,31-40岁,很少看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,未填写,少于1年,False
17,841,社区居民,18-24岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,5年以上,False
165,145,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,物业监督,不太愿意,未填写,1-5年,False
375,167,社区居民,25-30岁,很少看到,没感觉,不太支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,1-5年,False
319,216,社区居民,31-40岁,经常看到,没感觉,比较支持,否,充电消防隐患,禁止吸烟,无所谓,未填写,少于1年,False
250,212,社区居民,41岁及以上,偶尔看到,影响美观,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,1-5年,False
18,286,社区居民,18-24岁,偶尔看到,觉得辛苦,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,1-5年,False
149,341,社区居民,31-40岁,偶尔看到,影响美观,比较支持,是,噪音/卫生问题,物业监督,无所谓,未填写,5年以上,False
416,464,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,未填写,5年以上,False
345,473,社区居民,25-30岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,无所谓,未填写,5年以上,False
291,477,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,充电消防隐患,"物业监督,禁止吸烟",愿意,未填写,少于1年,False
221,299,社区居民,25-30岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,未填写,1-5年,False
500,412,社区居民,25-30岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,未填写,少于1年,False
119,309,社区居民,31-40岁,很少看到,不希望聚集,比较支持,是,充电消防隐患,禁止吸烟,无所谓,未填写,1-5年,False
499,403,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,未填写,5年以上,False
54,281,社区居民,18-24岁,经常看到,不希望聚集,不太支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,1-5年,False
